expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;40.917751;5;False;0;0;0;0;0;0;0;0;0;0;0;0;0
2;61.976687;5;True;0;0;1;1;0;0;1;0;0;0;0;0;3
3;131.301049;10;True;3;2;1;0;0;3;1;2;0;2;0;2;11
4;82.279987;10;False;0;0;0;0;0;1;0;1;0;0;0;0;2
5;235.234009;15;True;12;4;0;0;3;0;1;0;1;2;1;1;9
6;121.079183;15;False;0;0;0;0;0;0;0;0;0;0;0;0;0
7;392.308339;20;True;0;0;2;1;1;2;0;0;1;1;1;1;10
8;117.046054;20;False;0;0;0;0;0;0;0;0;0;0;0;0;0
9;535.975865;25;True;13;2;1;0;1;3;3;3;0;1;3;0;15
10;140.961715;25;False;0;0;0;0;0;0;1;0;0;0;0;0;1
11;733.951238;30;True;13;6;1;2;1;5;4;2;2;3;3;2;25
12;213.94102;30;False;0;0;1;1;0;0;0;0;0;0;0;0;2
13;1051.139291;35;True;23;9;6;2;2;2;2;3;0;3;3;3;26
14;240.688611;35;False;0;0;0;1;0;0;0;0;0;0;1;1;3
15;1372.027497;40;True;28;6;1;3;2;1;5;4;5;4;1;2;28
16;283.718975;40;False;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1697.893105;45;True;30;6;4;4;6;1;2;0;3;4;3;4;31
18;422.051781;45;False;0;0;0;0;0;1;0;0;0;0;0;0;1
19;2191.400037;50;True;40;15;2;4;4;4;4;5;4;4;4;2;37
20;331.348955;50;False;0;0;0;0;0;0;0;0;0;0;0;0;0
21;2407.118499;55;True;31;10;6;3;5;3;4;3;6;5;3;2;40
22;392.881673;55;False;0;0;0;0;0;0;0;0;0;0;0;0;0
23;2919.350697;60;True;45;16;4;3;5;3;7;4;4;3;2;4;39
24;476.238801;60;False;0;0;0;0;1;0;0;0;0;0;0;0;1
25;3403.672124;65;True;50;14;5;3;4;3;7;3;7;7;3;4;46
26;543.306556;65;False;0;0;0;0;0;0;0;0;0;0;0;0;0
27;4124.791373;70;True;27;11;7;4;3;6;4;2;5;4;1;2;38
28;603.568518;70;False;0;0;0;0;0;0;0;0;1;0;0;1;2
29;4840.700066;75;True;57;12;6;5;3;4;3;3;2;4;5;3;38
30;656.399203;75;False;0;0;0;0;0;0;0;1;0;0;0;0;1
31;5257.792158;80;True;29;8;8;5;4;2;4;3;0;3;3;4;36
32;636.442801;80;False;1;0;0;0;0;0;0;0;0;0;1;0;1
33;4962.581331;85;True;44;14;4;2;6;5;2;6;4;6;3;2;40
34;627.936842;85;False;0;0;0;1;0;1;0;0;0;0;0;0;2
35;4812.503051;90;True;40;17;5;6;5;5;6;8;4;7;4;4;54
36;557.772707;90;False;0;0;1;0;0;1;0;0;0;0;0;0;2
37;5240.444857;95;True;63;22;5;3;5;1;5;1;3;3;3;6;35
38;615.276814;95;False;1;2;0;0;0;0;0;0;0;0;0;0;0
39;5778.496281;100;True;24;8;6;4;4;4;6;8;4;2;3;4;45
40;570.670468;100;False;1;2;0;0;0;1;0;0;0;0;0;0;1
