expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;40.172583;5;False;0;0;0;0;0;0;1;0;0;0;0;0;1
2;56.027628;5;True;0;0;0;0;0;0;0;0;0;0;1;1;2
3;122.221632;10;True;0;0;1;0;0;1;1;1;0;1;1;0;6
4;73.50284;10;False;0;0;0;0;0;0;0;1;0;1;0;0;2
5;213.59895;15;True;2;0;2;0;1;0;0;1;1;3;0;2;10
6;92.007242;15;False;0;0;0;0;0;0;0;1;0;0;0;1;2
7;335.054092;20;True;0;0;2;0;0;2;1;1;2;2;1;1;12
8;138.477058;20;False;0;0;1;0;0;0;0;0;0;0;0;0;1
9;449.23738;25;True;6;4;3;1;3;1;3;4;0;1;1;0;17
10;158.910364;25;False;0;0;1;0;0;0;0;0;1;0;0;0;2
11;610.518453;30;True;15;5;3;3;0;2;2;1;2;3;3;3;22
12;181.489082;30;False;0;0;0;1;0;0;0;0;0;0;0;0;1
13;849.005061;35;True;12;2;4;3;3;1;3;2;2;2;4;0;24
14;211.577114;35;False;0;0;0;0;0;0;0;0;0;0;1;0;1
15;1005.99641;40;True;46;14;1;4;2;3;5;3;3;2;2;4;29
16;214.288038;40;False;1;0;0;0;0;0;1;0;0;0;0;0;1
17;1275.153384;45;True;26;10;0;5;3;6;1;2;4;5;3;3;32
18;197.643049;45;False;0;0;0;0;0;1;0;0;0;0;0;0;1
19;1521.584419;50;True;57;17;1;5;4;4;4;2;3;7;6;3;39
20;287.386582;50;False;0;0;0;0;0;1;0;0;1;0;0;0;2
21;1927.887392;55;True;36;4;6;5;3;6;5;2;6;6;3;6;48
22;324.635993;55;False;0;0;0;0;0;0;0;0;0;0;0;1;1
23;2217.191122;60;True;31;12;1;4;7;5;3;4;2;2;3;4;35
24;306.143648;60;False;0;0;0;0;0;1;0;0;0;0;0;0;1
25;2424.122817;65;True;56;23;5;3;4;5;3;1;5;5;3;5;39
26;348.845795;65;False;1;2;0;0;0;0;0;0;0;0;0;0;0
27;2916.480437;70;True;56;15;5;3;4;8;3;3;3;4;1;5;39
28;414.708479;70;False;2;2;0;0;0;0;0;0;0;0;0;0;0
29;3410.344877;75;True;33;9;5;7;1;1;6;5;7;5;5;2;44
30;449.895683;75;False;1;0;0;1;0;0;0;1;0;0;0;0;2
31;3719.016005;80;True;38;13;5;4;3;4;3;4;2;6;9;5;45
32;470.747215;80;False;0;0;0;0;0;0;0;0;0;0;0;0;0
33;4330.210722;85;True;28;7;5;2;1;5;4;5;6;3;6;4;41
34;498.707892;85;False;0;0;0;0;0;0;1;0;0;0;0;0;1
35;4218.284787;90;True;42;13;6;6;4;7;2;5;6;5;7;8;56
36;448.791626;90;False;0;0;1;0;0;1;0;0;0;0;0;0;2
37;4770.947031;95;True;58;16;3;5;2;4;5;3;5;3;6;4;40
38;567.313102;95;False;0;0;0;0;0;0;0;0;0;0;0;0;0
39;5237.021271;100;True;36;17;7;2;7;4;5;3;2;3;3;3;39
40;529.43103;100;False;0;0;0;0;0;1;0;1;0;0;0;0;2
