;nobs;step_,min;step_max;step_mean;step_median;step_std;successes;time_,min;time_max;time_mean;time_median;time_std;vnum
0;20;31;61;45.05;44.0;9.184089503048192;20;0.410069;0.999964;0.6401134;0.638198;0.1669722166833153;1
1;20;41;97;61.85;61.5;14.367585044119277;20;0.77017;2.250939;1.2804162000000001;1.276608;0.3774842535503435;2
2;20;47;133;71.25;64.5;22.047392136032776;20;1.246892;3.711345;1.9563675999999997;1.869104;0.6298630901428818;3
3;20;48;136;84.25;81.5;22.033780882998723;20;1.712073;5.1915;3.0315880500000008;2.9609829999999997;0.7751478418037087;4
4;20;55;114;82.15;83.0;14.863630108422369;20;2.16049;5.438718;3.6743170999999997;3.769625;0.8267551949785922;5
5;20;53;133;93.1;90.0;20.5204775772885;20;2.990219;7.426218;4.93025645;4.7836845;1.0206875643929183;6
6;20;72;133;91.9;87.5;17.406607940664372;20;4.356483;8.598039;5.7675896;5.444654;1.088094284433955;7
7;20;80;119;97.45;98.5;9.249189153650173;20;5.936659;9.237532;7.1028932;6.9217035;0.8372800019542208;8
8;20;67;127;98.65;98.5;15.060793471792913;20;6.831334;11.449002;8.441825900000001;8.430415;1.104025880072152;9
9;20;71;142;103.0;103.0;17.60113632695344;20;7.439493;12.691298;9.6966742;9.5648215;1.409773340336616;10
10;20;65;134;103.25;103.5;16.446504187820583;20;8.2368;16.010365;11.00512735;10.9838135;1.656262223623369;11
11;20;74;126;99.65;100.5;14.371064678721615;20;9.63332;16.717506;12.563619249999999;12.3853705;1.8599815771088128;12
12;20;73;160;108.55;112.5;25.11667772616434;20;9.639545;23.191202;14.611787900000001;13.7238845;3.0946130639728593;13
13;20;85;148;114.25;108.5;18.398029785822178;20;13.551829;22.623319;16.5061148;16.263488000000002;2.2200174443215666;14
14;20;82;162;117.8;113.5;23.712022267196023;20;12.954862;24.962328;18.020930649999997;17.613391;3.1003631959060747;15
15;20;81;161;121.25;121.5;17.65467360219384;20;15.495365;22.980089;20.77863245;21.3974385;2.1183072343959095;16
16;20;92;204;125.1;119.5;27.199080866823426;20;12.554583;27.345162;22.0268223;22.130739;3.5324532039985064;17
17;20;75;156;116.45;119.0;21.564960004600056;20;17.701449;30.022473;23.1817622;21.984664;3.34179408069041;18
18;20;85;142;111.95;109.5;14.544672564207143;20;19.52414;29.885061;24.5406255;24.0659095;2.586186067014175;19
19;20;92;173;127.1;129.5;22.934471870963154;20;22.054831;42.659134;29.964930950000003;28.37406;5.2701285365609305;20
20;20;94;181;119.8;117.0;19.093454375780198;20;22.635739;39.570211;30.4619173;30.234178;3.542000096599986;21
21;20;78;177;125.4;118.0;26.018070643304817;20;26.695987;49.572138;35.43999375;33.6675945;5.896395433110308;22
22;20;92;190;126.55;124.0;21.562641303884828;20;30.80094;43.105046;36.3553914;35.536975999999996;3.692256829892016;23
23;20;97;169;129.85;130.5;16.62911603182803;20;31.445455;46.729474;38.0033648;37.903855;4.42063273393186;24
24;20;85;161;121.8;119.5;22.80920866667671;20;33.789708;53.124709;40.961427;40.556245000000004;4.622674727110659;25
25;20;84;160;129.1;130.0;18.18213408816468;20;32.593634;54.480513;43.9302401;44.244849;5.864170563958137;26
26;20;86;166;121.95;119.5;19.1271404031026;20;39.862047;57.212354;46.900288149999994;46.3111795;5.15925321164838;27
27;20;103;217;131.45;124.0;26.342883289419934;20;39.901113;80.274048;52.1912617;51.6222925;8.732851242790042;28
28;20;92;172;134.7;135.5;19.02656038279121;20;43.583923;65.639066;54.89079695;55.14563;6.608882627126589;29
29;20;117;209;143.9;136.0;26.696254418925513;20;45.104715;83.846119;58.757712100000006;56.913562999999996;8.557686763607096;30
