I;SUCCESSES;TRIALS
1;18;20
2;18;20
3;19;20
4;17;20
5;19;20
6;19;20
7;17;20
8;18;20
9;19;20
10;19;20
11;19;20
12;18;20
13;20;20
14;18;20
15;19;20
16;16;20
17;19;20
18;17;20
19;17;20
20;19;20
