expnum;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;45;False;0;0;0;0;1;0;0;0;0;0;0;1
2;45;False;0;0;0;0;0;0;0;0;0;0;0;0
3;45;False;0;0;0;0;1;0;0;0;0;0;0;1
4;45;False;0;0;0;0;0;0;0;0;0;0;0;0
5;45;False;0;0;0;0;1;0;0;0;0;0;0;1
6;45;False;0;0;0;0;1;0;0;0;0;0;0;1
7;45;False;0;0;0;0;1;0;0;0;0;0;0;1
8;45;False;0;0;0;0;1;0;0;0;0;0;0;1
9;45;False;0;0;0;0;1;0;0;0;0;0;0;1
10;45;False;2;0;0;0;2;0;0;0;0;0;0;2
11;45;True;12;5;4;2;6;1;1;3;1;4;3;30
12;45;True;9;4;2;3;3;3;2;5;1;4;4;31
13;45;True;12;4;3;5;3;2;0;5;0;4;2;28
14;45;True;3;5;2;3;4;2;2;4;1;3;5;31
15;45;True;8;3;2;4;3;2;1;4;1;3;2;25
16;45;True;9;4;4;2;3;2;2;4;1;4;3;29
17;45;True;9;3;4;4;3;2;2;3;1;3;3;28
18;45;True;8;4;3;3;2;1;2;5;2;3;4;29
19;45;True;7;4;5;4;4;2;1;4;1;3;2;30
20;45;True;9;5;3;1;4;3;2;4;2;4;3;31
21;50;False;0;0;0;0;0;0;0;1;0;0;0;1
22;50;False;0;0;0;0;0;0;0;2;0;0;0;2
23;50;False;0;0;0;0;0;0;0;0;0;1;0;1
24;50;False;0;0;0;0;0;0;0;1;0;0;0;1
25;50;False;0;0;0;0;0;0;0;1;0;1;0;2
26;50;False;0;0;0;0;0;0;0;1;0;0;0;1
27;50;False;0;0;0;0;0;0;0;1;1;1;0;3
28;50;False;0;0;0;0;0;0;0;0;0;1;0;1
29;50;False;0;0;0;0;0;0;0;1;0;0;0;1
30;50;False;2;0;0;0;0;0;0;1;0;1;0;2
31;50;True;12;4;5;3;2;3;5;3;5;1;3;34
32;50;True;12;0;4;3;3;5;4;4;4;0;4;31
33;50;True;13;1;5;4;3;4;4;6;5;1;4;37
34;50;True;13;2;4;3;3;4;4;3;2;1;5;31
35;50;True;11;1;4;3;4;4;3;4;4;1;6;34
36;50;True;15;3;2;3;3;4;3;2;3;0;5;28
37;50;True;8;3;3;3;4;6;4;4;5;0;3;35
38;50;True;9;2;5;2;3;3;5;2;4;1;5;32
39;50;True;11;3;4;2;2;4;1;1;5;1;5;28
40;50;True;9;2;4;2;3;3;4;3;4;2;6;33
41;55;False;0;0;0;1;0;0;0;0;0;0;1;2
42;55;False;0;0;1;0;0;0;0;0;0;0;1;2
43;55;False;0;0;0;1;0;0;0;0;0;0;1;2
44;55;False;0;0;0;1;0;0;0;0;0;0;0;1
45;55;False;0;0;1;0;0;0;0;0;0;0;1;2
46;55;False;0;0;0;0;0;0;0;0;0;0;1;1
47;55;False;0;0;0;2;0;0;0;0;0;0;0;2
48;55;False;0;0;0;0;0;0;0;0;0;0;1;1
49;55;False;0;0;0;0;0;0;0;0;0;0;1;1
50;55;False;0;0;1;0;0;0;0;0;0;0;1;2
51;55;True;17;4;1;5;4;5;3;5;3;3;5;38
52;55;True;13;2;3;3;3;3;3;4;2;4;7;34
53;55;True;11;3;3;4;5;5;4;3;1;2;3;33
54;55;True;9;4;4;4;4;3;4;4;2;3;5;37
55;55;True;7;2;3;5;5;4;3;6;2;5;4;39
56;55;True;11;3;2;5;4;4;4;5;3;3;6;39
57;55;True;10;1;2;4;4;3;3;5;4;3;3;32
58;55;True;11;3;3;4;5;5;4;6;1;3;2;36
59;55;True;11;2;3;3;4;4;4;4;3;5;4;36
60;55;True;11;2;3;5;5;4;3;3;3;5;3;36
61;60;False;2;0;0;1;1;0;0;0;0;0;0;2
62;60;False;0;0;0;0;1;0;0;0;0;0;0;1
63;60;False;2;0;0;0;1;0;0;0;0;0;0;1
64;60;False;2;0;0;1;0;0;0;0;0;0;0;1
65;60;False;0;0;0;1;0;0;0;0;0;0;0;1
66;60;False;2;0;0;0;0;0;0;0;0;0;0;0
67;60;False;0;0;0;1;0;0;0;0;0;0;0;1
68;60;False;0;0;0;0;0;0;0;0;0;0;0;0
69;60;False;0;0;0;1;1;0;0;0;0;0;0;2
70;60;False;0;0;0;0;0;0;0;0;0;0;0;0
71;60;True;9;1;4;6;2;3;4;2;4;2;2;30
72;60;True;3;2;5;4;3;3;3;2;4;3;1;30
73;60;True;12;2;4;3;3;2;3;2;3;3;3;28
74;60;True;14;2;1;4;4;4;3;3;3;2;1;27
75;60;True;8;2;2;5;5;4;2;3;3;3;1;30
76;60;True;6;2;5;4;3;4;2;2;3;4;1;30
77;60;True;6;2;4;2;2;3;2;4;2;2;0;23
78;60;True;17;2;3;4;7;4;3;4;4;4;0;35
79;60;True;11;2;3;4;2;3;3;2;5;3;1;28
80;60;True;10;1;2;3;3;4;2;2;3;3;2;25
81;65;False;0;0;0;0;0;0;0;0;0;0;0;0
82;65;False;0;0;1;0;0;0;0;0;0;0;0;1
83;65;False;0;0;0;0;0;0;0;0;0;0;0;0
84;65;False;0;0;0;0;0;0;0;0;0;0;0;0
85;65;False;0;0;0;0;0;0;0;0;0;0;0;0
86;65;False;0;0;1;0;0;0;0;0;0;0;0;1
87;65;False;0;0;0;0;0;0;0;0;0;0;0;0
88;65;False;0;0;0;0;0;0;0;0;0;0;0;0
89;65;False;0;0;1;0;0;0;0;0;0;0;0;1
90;65;False;0;0;0;0;0;0;0;0;0;0;0;0
