expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;57.843731;5;False;0;0;0;0;1;0;0;0;0;0;0;0;1
2;61.05115;5;True;0;0;1;0;1;1;2;0;0;0;0;0;5
3;141.871397;10;True;0;0;2;0;0;3;0;1;0;1;0;1;8
4;73.975391;10;False;0;0;0;0;0;0;0;0;0;0;0;1;1
5;247.397775;15;True;2;2;1;0;0;1;1;2;0;2;0;2;9
6;105.159055;15;False;0;0;0;0;0;0;0;0;0;0;1;0;1
7;434.019771;20;True;4;0;1;2;1;0;1;1;3;1;2;1;13
8;139.727155;20;False;0;0;0;0;0;0;0;0;0;0;0;0;0
9;586.872787;25;True;4;2;1;2;4;2;0;2;0;3;2;2;18
10;195.82008;25;False;0;0;0;0;0;0;0;0;0;0;1;0;1
11;732.860774;30;True;21;7;2;2;3;2;1;0;3;2;6;3;24
12;205.0163;30;False;0;0;1;0;1;0;0;1;0;0;0;0;3
13;1064.383344;35;True;0;0;2;1;3;5;2;2;2;3;2;2;24
14;261.9634;35;False;0;0;1;0;0;0;0;0;0;0;0;0;1
15;1260.404858;40;True;36;12;0;3;3;2;5;3;4;3;5;2;30
16;261.662858;40;False;0;0;0;1;0;0;0;0;0;0;0;0;1
17;1657.369027;45;True;23;7;4;2;2;2;1;1;2;3;2;5;24
18;378.302642;45;False;0;0;0;0;0;0;0;0;0;0;0;0;0
19;973.361085;50;True;4;2;0;3;1;0;3;2;1;0;1;0;11
20;374.076514;50;False;0;0;0;0;0;0;1;0;0;0;0;0;1
21;2303.81762;55;True;66;22;5;4;7;3;2;3;6;4;5;5;44
22;434.902993;55;False;0;0;0;0;1;1;0;1;0;0;0;0;3
23;2805.450616;60;True;39;13;4;1;1;5;5;4;1;5;3;4;33
24;387.40016;60;False;0;0;0;0;0;0;0;0;0;0;0;0;0
25;3278.340698;65;True;35;7;3;1;6;3;4;3;5;4;6;4;39
26;433.995309;65;False;0;0;0;0;1;0;0;0;0;0;1;0;2
27;3588.143466;70;True;82;21;3;2;5;5;5;2;0;4;3;5;34
28;495.106556;70;False;3;0;0;0;0;0;0;1;0;0;0;0;1
29;4171.881557;75;True;43;16;6;4;5;1;2;3;4;2;1;2;30
30;410.093173;75;False;2;2;0;0;1;0;0;0;0;0;0;0;1
31;4553.513217;80;True;40;14;7;5;5;1;3;7;4;5;4;7;48
32;682.765176;80;False;1;0;0;0;0;0;0;0;0;0;0;0;0
33;5132.518681;85;True;45;18;3;5;2;5;5;0;3;0;4;4;31
34;593.570269;85;False;0;0;0;0;0;0;0;1;0;0;0;0;1
35;5190.343667;90;True;53;18;5;8;4;3;6;8;5;4;6;3;52
36;521.653173;90;False;2;0;0;0;0;1;0;0;0;0;0;0;1
37;5958.702999;95;True;45;13;4;3;3;3;7;5;5;2;4;6;42
38;601.544148;95;False;0;0;0;0;0;0;0;0;0;0;0;0;0
39;6077.724944;100;True;56;21;3;4;6;7;2;4;3;1;5;5;40
40;789.501661;100;False;3;4;0;0;0;0;0;0;0;0;1;0;1
