expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;42.437367;5;False;0;0;0;0;0;0;0;0;0;0;0;0;0
2;50.692586;5;True;0;0;0;0;1;0;1;0;0;0;1;0;3
3;105.977062;10;True;0;0;1;0;0;0;1;3;0;0;1;2;8
4;62.534646;10;False;0;0;0;0;1;0;1;0;0;0;0;0;2
5;189.727857;15;True;0;0;1;0;1;0;3;1;2;2;1;2;13
6;75.727068;15;False;0;0;0;0;0;0;0;0;0;0;0;0;0
7;298.489443;20;True;0;0;0;1;2;1;1;2;0;1;1;0;9
8;116.309805;20;False;0;0;0;0;0;1;1;0;1;0;0;1;4
9;438.228793;25;True;15;4;4;1;1;0;0;1;0;1;3;2;13
10;126.8088;25;False;0;0;1;0;0;0;1;0;0;0;0;0;2
11;588.878943;30;True;13;2;3;2;3;2;1;2;1;1;3;2;20
12;164.309756;30;False;0;0;0;1;0;0;0;0;0;0;0;0;1
13;783.449798;35;True;7;4;5;2;3;4;2;3;1;1;2;2;25
14;191.071972;35;False;0;0;0;0;0;0;0;0;0;0;0;0;0
15;957.95865;40;True;40;11;1;3;3;3;3;3;3;3;3;4;29
16;201.168604;40;False;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1165.071908;45;True;32;7;7;4;0;3;2;0;5;6;4;4;35
18;182.545559;45;False;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1406.321529;50;True;34;9;1;7;5;3;4;5;4;4;3;3;39
20;274.630918;50;False;0;0;0;0;0;0;0;0;1;0;0;0;1
21;1629.643516;55;True;64;19;2;7;7;7;5;1;6;3;2;6;46
22;317.258881;55;False;2;0;0;0;0;0;0;0;0;0;0;0;0
23;1987.67802;60;True;40;14;6;4;2;8;5;3;3;4;2;4;41
24;339.153606;60;False;1;0;0;0;0;0;0;0;0;0;0;0;0
25;2265.967843;65;True;38;16;3;1;5;3;3;4;7;5;8;4;43
26;341.47593;65;False;1;0;0;0;0;0;0;0;1;0;0;0;1
27;2630.093713;70;True;34;13;3;4;5;5;6;2;6;3;4;2;40
28;331.193354;70;False;0;0;0;1;0;1;0;0;0;0;0;0;2
29;3113.562018;75;True;39;13;2;6;2;3;1;6;2;2;6;4;34
30;451.559829;75;False;0;0;0;0;0;0;0;0;0;0;0;0;0
31;3400.402903;80;True;52;17;4;2;4;3;3;4;5;5;5;3;38
32;435.292657;80;False;0;0;0;0;0;0;0;0;0;0;0;0;0
33;3721.160936;85;True;38;15;6;1;5;4;3;5;5;4;7;2;42
34;404.423049;85;False;0;0;0;1;0;0;0;0;0;0;0;0;1
35;1973.378555;90;True;6;3;2;1;2;1;2;1;2;3;4;3;21
36;531.037723;90;False;2;0;0;0;0;0;0;1;0;0;0;1;2
37;4188.372345;95;True;57;20;3;3;2;5;5;5;6;2;4;5;40
38;525.548193;95;False;1;2;0;0;0;0;0;0;1;0;0;0;1
39;4662.057224;100;True;52;15;8;3;6;2;2;3;4;3;1;3;35
40;515.940984;100;False;1;2;0;1;0;1;0;0;0;0;0;0;2
