expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;37.702025;5;False;0;0;1;0;0;0;0;0;0;0;1;0;2
2;44.159905;5;True;0;0;0;0;0;1;0;0;0;0;1;0;2
3;100.412672;10;True;4;0;0;1;0;1;1;0;0;1;2;2;8
4;61.462342;10;False;0;0;0;0;0;0;0;0;0;0;0;0;0
5;179.621005;15;True;0;0;1;1;4;0;2;1;0;2;0;1;12
6;87.582408;15;False;0;0;0;0;0;0;0;1;0;0;0;0;1
7;279.126166;20;True;10;2;0;0;2;1;2;2;2;1;0;0;10
8;99.444403;20;False;0;0;0;0;0;0;0;0;0;0;0;0;0
9;401.522889;25;True;6;0;2;0;3;1;0;0;3;0;2;3;14
10;112.174083;25;False;0;0;0;0;0;0;0;0;0;0;0;0;0
11;508.02225;30;True;19;7;3;0;1;4;1;2;3;0;4;4;22
12;148.142474;30;False;0;0;0;0;0;0;0;0;0;0;0;0;0
13;691.402448;35;True;22;6;5;4;3;2;1;3;2;2;3;3;28
14;157.325865;35;False;0;0;0;1;0;0;0;0;0;0;0;0;1
15;862.110836;40;True;22;10;2;4;3;4;4;4;3;3;2;2;31
16;197.269859;40;False;0;0;0;0;1;0;1;0;0;0;0;0;2
17;1028.372262;45;True;38;11;4;5;3;2;4;1;4;4;2;4;33
18;209.136893;45;False;0;0;0;0;0;0;0;0;0;0;0;1;1
19;1334.104014;50;True;34;10;3;5;3;6;4;2;4;5;3;6;41
20;236.271501;50;False;0;0;0;1;0;0;0;0;0;0;0;0;1
21;1473.579818;55;True;55;19;4;6;7;5;4;2;6;4;5;4;47
22;251.029843;55;False;2;0;0;0;0;0;0;0;0;1;0;1;2
23;1821.819727;60;True;36;14;6;3;4;3;5;7;2;2;2;5;39
24;247.205239;60;False;0;0;0;0;1;0;0;0;0;0;0;1;2
25;2143.808454;65;True;46;15;2;4;4;3;3;5;5;5;7;5;43
26;313.112752;65;False;2;0;0;0;0;0;0;0;0;0;0;0;0
27;2421.30484;70;True;43;14;8;2;6;3;4;4;7;2;3;4;43
28;337.623453;70;False;0;0;0;0;0;0;0;1;0;0;0;1;2
29;2780.876494;75;True;48;18;5;8;3;6;2;4;5;5;5;0;43
30;297.202348;75;False;0;0;0;0;0;0;0;0;0;0;0;0;0
31;3089.028297;80;True;48;9;5;2;4;4;3;4;1;5;6;4;38
32;402.046252;80;False;1;2;0;0;0;0;0;0;0;0;0;0;0
33;3548.873798;85;True;27;5;4;3;6;1;3;4;4;4;5;6;40
34;338.933612;85;False;1;2;0;0;0;0;0;0;0;0;0;0;0
35;3405.668327;90;True;60;14;5;7;2;9;6;7;9;7;6;6;64
36;515.96988;90;False;0;0;0;0;0;0;0;0;0;1;0;0;1
37;4163.93399;95;True;94;18;4;5;3;3;8;3;2;4;4;3;39
38;472.951921;95;False;0;0;0;0;0;0;1;0;0;0;1;0;2
39;4370.889122;100;True;45;11;1;3;4;4;2;5;7;3;5;7;41
40;515.139277;100;False;0;0;0;0;0;0;0;0;1;0;0;0;1
