expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;46.384586;5;False;0;0;0;1;0;0;0;0;0;0;0;0;1
2;59.064534;5;True;0;0;1;0;0;0;1;1;0;0;1;1;5
3;134.486303;10;True;8;0;0;0;0;1;1;1;0;2;0;0;5
4;76.244768;10;False;0;0;0;0;0;1;0;0;0;1;0;0;2
5;234.667366;15;True;0;0;0;0;2;1;2;2;2;3;1;1;14
6;83.707252;15;False;0;0;0;0;0;0;0;0;0;0;0;0;0
7;363.850046;20;True;0;0;1;2;2;0;1;1;1;1;1;1;11
8;134.599527;20;False;0;0;0;0;0;0;0;0;0;0;0;0;0
9;509.388213;25;True;0;0;1;2;0;2;2;0;2;1;1;0;11
10;153.759257;25;False;0;0;0;0;0;0;0;0;0;0;0;0;0
11;657.013648;30;True;22;6;2;3;1;4;3;1;2;0;3;1;20
12;169.71118;30;False;0;0;0;0;0;0;0;1;0;0;0;0;1
13;853.573046;35;True;19;9;3;2;4;1;3;3;1;4;3;1;25
14;185.220122;35;False;0;0;2;0;0;0;0;0;0;0;0;0;2
15;1102.503504;40;True;16;6;1;4;1;3;3;3;2;3;2;4;26
16;207.881328;40;False;0;0;1;0;0;0;0;0;0;0;0;0;1
17;1329.372131;45;True;25;9;3;3;1;4;4;2;2;3;2;2;26
18;278.702382;45;False;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1686.62693;50;True;27;7;2;5;6;4;4;4;2;5;6;3;41
20;240.620779;50;False;0;0;0;1;0;0;0;0;0;1;0;0;2
21;2036.148759;55;True;16;4;6;5;6;2;5;4;5;2;4;5;44
22;332.848718;55;False;0;0;0;0;0;0;0;0;0;1;0;0;1
23;2302.151396;60;True;78;17;8;4;1;6;5;5;4;2;0;3;38
24;408.456128;60;False;1;0;0;0;0;0;1;0;0;0;0;0;1
25;1621.167636;65;True;21;6;0;1;2;2;0;1;1;4;3;1;15
26;330.888082;65;False;1;2;0;0;0;0;0;0;1;1;0;0;2
27;3121.188109;70;True;48;16;4;4;4;3;5;3;5;0;2;5;35
28;463.259059;70;False;0;0;0;0;0;0;0;0;0;0;0;0;0
29;3448.785806;75;True;45;20;6;5;4;1;7;3;6;1;3;3;39
30;442.463354;75;False;0;0;0;0;0;0;1;0;0;0;1;0;2
31;3923.744634;80;True;54;13;8;3;4;4;6;6;3;3;4;3;44
32;449.65492;80;False;0;0;0;0;0;0;0;2;0;0;1;0;3
33;4339.532935;85;True;45;12;4;4;6;4;2;5;6;5;7;5;48
34;531.876993;85;False;0;0;0;0;0;0;0;0;0;0;1;0;1
35;4033.848265;90;True;77;32;6;8;5;4;5;6;5;8;5;6;58
36;620.525155;90;False;1;0;0;0;0;0;0;0;0;0;0;0;0
37;5023.751115;95;True;56;21;6;5;3;3;5;6;4;4;1;4;41
38;546.137776;95;False;0;0;0;0;0;0;0;0;0;0;0;0;0
39;5573.100616;100;True;43;9;3;7;3;6;3;4;3;2;2;4;37
40;627.133308;100;False;0;0;0;0;0;0;0;1;0;0;0;0;1
