expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;18.508072;5;False;0;0;0;0;0;0;0;0;0;0;0;0;0
2;20.612379;5;False;0;0;0;1;0;2;0;0;0;0;0;0;3
3;19.624718;5;False;0;0;0;0;0;1;0;0;0;0;0;0;1
4;17.887026;5;False;0;0;0;0;0;0;1;0;0;0;0;0;1
5;22.313415;5;False;2;0;0;0;1;1;0;0;0;0;0;0;2
6;21.8208;5;False;0;0;0;0;0;1;0;0;0;0;0;0;1
7;21.348347;5;False;0;0;0;0;0;1;0;0;0;0;0;0;1
8;21.235249;5;False;0;0;0;0;0;1;0;0;0;0;0;0;1
9;20.72427;5;False;0;0;0;0;1;1;0;0;0;0;0;0;2
10;21.71124;5;False;0;0;0;0;0;0;0;0;0;0;0;0;0
11;25.688446;5;True;0;0;0;0;0;1;0;0;0;0;0;0;1
12;25.677125;5;True;0;0;0;0;0;2;1;0;0;0;0;0;3
13;26.266704;5;True;0;0;0;0;0;1;1;0;0;0;0;0;2
14;25.155026;5;True;0;0;0;1;0;0;1;0;0;0;0;0;2
15;24.25421;5;True;0;0;0;0;0;2;1;0;0;0;0;0;3
16;25.178834;5;True;0;0;0;0;0;2;1;0;0;0;0;0;3
17;26.084913;5;True;0;0;1;0;0;1;0;0;0;0;0;0;2
18;25.960106;5;True;0;0;0;0;0;1;1;0;0;0;0;0;2
19;25.279998;5;True;0;0;0;0;1;1;1;0;0;0;0;0;3
20;24.678679;5;True;0;0;0;1;0;1;1;0;0;0;0;0;3
21;41.674743;10;False;0;0;0;0;0;0;0;1;0;0;0;0;1
22;40.599259;10;False;0;0;0;0;0;0;0;1;0;0;0;0;1
23;39.308589;10;False;0;0;0;0;0;0;0;1;0;0;0;0;1
24;32.942736;10;False;0;0;0;0;0;0;0;0;0;0;0;0;0
25;35.67938;10;False;0;0;0;0;0;0;0;1;0;0;0;0;1
26;36.205991;10;False;0;0;0;0;0;0;0;0;0;0;0;0;0
27;34.56025;10;False;0;0;0;0;0;0;0;1;0;1;0;0;2
28;39.337259;10;False;0;0;0;0;0;0;0;1;0;0;0;0;1
29;38.32706;10;False;0;0;0;0;0;0;1;0;0;0;0;0;1
30;38.438508;10;False;0;0;0;0;0;1;1;0;0;0;0;0;2
31;62.518608;10;True;0;0;0;0;1;1;2;2;1;1;0;1;9
32;64.479044;10;True;0;0;0;0;1;0;2;2;0;1;0;0;6
33;62.427657;10;True;0;0;0;0;1;0;1;1;1;2;1;2;9
34;66.100663;10;True;0;0;0;0;0;1;2;1;0;0;0;0;4
35;66.451358;10;True;0;0;0;0;0;1;2;1;0;1;0;1;6
36;71.831728;10;True;0;0;1;0;1;0;2;2;1;1;0;1;9
37;71.879951;10;True;0;0;0;0;0;1;2;2;0;2;0;1;8
38;70.66549;10;True;0;0;0;0;1;0;2;2;0;2;1;1;9
39;71.464886;10;True;0;0;0;0;1;1;2;3;0;2;0;2;11
40;70.066636;10;True;0;0;1;0;0;0;3;1;0;0;1;2;8
41;51.430765;15;False;0;0;0;0;0;0;0;0;0;0;0;1;1
42;45.740678;15;False;0;0;0;0;0;0;0;0;0;0;0;0;0
43;58.388888;15;False;1;0;0;0;0;0;0;0;0;0;0;2;2
44;55.902097;15;False;0;0;0;0;1;0;0;0;0;0;0;1;2
45;62.103632;15;False;0;0;0;0;0;0;0;0;0;0;0;1;1
46;51.014632;15;False;0;0;0;0;1;0;0;0;0;0;0;1;2
47;53.538376;15;False;0;0;0;0;0;0;0;0;0;0;0;1;1
48;36.788254;15;False;0;0;0;0;0;0;0;2;0;0;0;0;2
49;53.673737;15;False;1;2;0;0;0;0;0;0;0;0;0;2;2
50;55.704045;15;False;0;0;0;0;0;0;0;0;0;0;0;1;1
51;131.01525;15;True;11;4;0;0;2;1;0;2;2;2;0;1;10
52;131.360618;15;True;0;0;1;0;1;1;1;1;0;1;1;3;10
53;136.217969;15;True;4;0;3;0;2;3;1;1;1;2;1;3;17
54;135.336742;15;True;0;0;1;0;2;2;1;1;1;2;1;2;13
55;133.909419;15;True;2;0;3;0;2;3;0;0;2;3;2;3;18
56;139.646067;15;True;2;0;3;0;0;2;1;2;1;2;0;1;12
57;135.479506;15;True;4;2;1;0;2;2;1;2;1;2;2;3;16
58;133.139355;15;True;4;2;3;0;2;2;1;1;0;2;1;3;15
59;126.027873;15;True;2;2;1;0;1;2;0;2;1;2;2;1;12
60;132.981707;15;True;0;0;1;0;2;2;1;1;1;2;2;1;13
