expnum;duration;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;139.381115;45;False;0;0;0;0;1;0;0;1;0;0;0;2
2;112.239683;45;False;0;0;0;0;0;0;0;0;0;0;1;1
3;143.91233;45;False;0;0;0;0;1;0;0;0;0;0;1;2
4;139.316134;45;False;0;0;0;0;1;0;0;0;0;0;0;1
5;87.496306;45;False;0;0;0;0;0;0;0;0;0;0;1;1
6;143.677813;45;False;0;0;0;0;1;0;0;0;0;0;1;2
7;142.759579;45;False;0;0;0;0;1;0;0;0;0;0;1;2
8;114.357089;45;False;0;0;0;0;0;0;0;0;0;0;2;2
9;111.906363;45;False;0;0;0;0;1;0;0;0;0;0;1;2
10;149.117769;45;False;0;0;0;0;1;0;0;0;0;0;0;1
11;506.326796;45;True;11;3;2;3;3;2;3;4;4;2;3;29
12;463.179412;45;True;12;3;2;3;4;4;4;3;3;3;2;31
13;500.549893;45;True;7;4;2;2;3;3;3;5;0;4;3;29
14;431.109223;45;True;8;4;2;0;1;4;1;4;3;3;3;25
15;495.492642;45;True;9;1;1;2;3;4;3;2;4;3;3;26
16;148.386662;45;True;2;0;0;0;0;2;0;2;0;0;0;4
17;457.185595;45;True;9;2;1;0;3;4;2;5;4;3;0;24
18;482.10944;45;True;8;4;2;1;1;5;2;6;4;3;1;29
19;485.16326;45;True;6;3;2;1;2;3;2;4;3;5;3;28
20;457.336476;45;True;8;1;0;3;3;5;2;4;1;3;4;26
