step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
33;72;80;24;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
34;73;80;25;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
35;74;80;26;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
36;75;80;27;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
37;76;80;28;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
38;77;80;29;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
39;78;80;30;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
40;79;80;30;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
41;80;80;30;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
42;81;80;30;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
43;82;80;30;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
44;83;80;31;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
45;84;80;32;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
46;85;80;33;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
47;86;80;33;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
48;87;80;33;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
49;88;80;34;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
50;89;80;35;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
51;90;80;36;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
52;93;80;37;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
53;100;80;37;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws4']
54;101;80;37;102;153;184;49;d(item5, ws1);None;None;False;False;False;0;0;0;0;0;['ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws4']
55;102;81;37;102;153;184;49;d(item5, ws1);None;None;False;False;False;0;0;0;0;0;['ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws4', 'ws2']
56;103;81;38;102;153;184;49;d(item5, ws1);None;None;False;False;False;0;0;0;0;0;['ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
57;104;82;38;102;153;184;49;d(item5, ws1);None;None;False;False;False;0;0;0;0;0;['ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
58;105;82;39;102;153;184;49;d(item5, ws1);None;None;False;False;False;0;0;0;0;0;['ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
