expnum;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;45;False;0;0;0;0;0;0;0;0;0;0;2;2
2;45;False;0;0;0;0;0;0;0;0;0;0;2;2
3;45;False;0;0;0;0;0;0;0;0;0;0;2;2
4;45;False;0;0;0;0;0;0;0;1;0;0;1;2
5;45;False;0;0;0;0;0;0;0;0;0;0;2;2
6;45;False;0;0;0;0;0;0;0;0;0;1;0;1
7;45;False;0;0;0;0;0;0;0;0;0;0;2;2
8;45;False;0;0;0;0;0;0;0;0;0;0;1;1
9;45;False;2;0;0;0;0;0;0;0;0;0;2;2
10;45;False;0;0;0;0;0;0;0;0;0;1;1;2
11;45;True;11;3;2;4;3;3;0;3;2;4;1;25
12;45;True;12;3;4;2;3;3;2;3;3;3;2;28
13;45;True;12;4;3;3;4;3;0;3;2;3;3;28
14;45;True;2;4;2;2;3;3;0;4;2;4;3;27
15;45;True;4;2;3;2;4;2;2;4;4;3;3;29
16;45;True;11;3;3;4;3;2;1;2;0;3;2;23
17;45;True;10;3;2;4;4;4;1;5;2;4;2;31
18;45;True;9;5;4;4;4;3;0;4;4;4;3;35
19;45;True;7;4;3;1;3;3;1;4;4;4;1;28
20;45;True;12;3;2;4;4;3;0;3;3;4;2;28
21;50;False;0;0;0;0;0;1;0;0;1;1;0;3
22;50;False;2;0;0;0;0;1;0;1;0;0;0;2
23;50;False;0;0;0;0;0;1;0;1;0;0;0;2
24;50;False;0;0;0;0;0;0;0;1;0;0;0;1
25;50;False;0;0;0;0;0;1;0;1;0;0;0;2
26;50;False;0;0;0;0;0;1;0;1;0;0;0;2
27;50;False;0;0;0;0;0;1;0;1;0;0;0;2
28;50;False;2;0;0;0;0;0;0;1;0;0;0;1
29;50;False;0;0;0;0;0;0;0;1;1;0;0;2
30;50;False;0;0;0;0;0;0;0;1;0;0;0;1
31;50;True;12;2;2;6;5;5;4;6;5;3;1;39
32;50;True;8;2;2;4;3;3;3;3;4;5;1;30
33;50;True;16;1;3;4;5;5;5;3;5;3;0;34
34;50;True;10;2;3;5;5;5;5;5;5;3;2;40
35;50;True;10;1;5;2;3;3;5;4;4;4;2;33
36;50;True;15;0;3;5;4;3;1;4;6;4;2;32
37;50;True;14;1;3;5;5;2;5;4;4;4;2;35
38;50;True;12;1;4;3;6;6;3;4;4;3;2;36
39;50;True;11;2;3;5;4;3;3;3;4;4;1;32
40;50;True;8;3;2;4;4;4;3;2;4;2;1;29
41;55;False;0;0;0;0;1;0;0;0;0;0;0;1
42;55;False;0;0;0;1;0;0;0;0;0;0;0;1
43;55;False;0;0;0;1;0;0;0;0;0;0;0;1
44;55;False;0;0;0;0;0;0;0;0;0;0;0;0
45;55;False;0;0;0;0;1;0;0;1;0;0;0;2
46;55;False;2;0;0;0;0;0;0;0;0;0;0;0
47;55;False;0;0;0;0;0;0;0;0;0;0;0;0
48;55;False;0;0;0;0;0;0;0;0;0;0;0;0
49;55;False;0;0;0;1;0;0;0;0;0;0;0;1
50;55;False;0;0;0;0;1;0;0;0;0;0;0;1
51;55;True;2;2;2;0;1;4;1;2;3;2;1;18
52;55;True;18;4;5;4;3;7;2;3;4;4;3;39
