expnum;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
53;55;True;9;4;3;3;3;3;4;3;3;3;5;34
54;55;True;10;3;4;3;3;3;4;5;4;3;3;35
55;55;True;21;2;2;3;4;4;1;4;4;3;5;32
56;55;True;12;1;5;3;3;3;3;4;4;5;5;36
57;55;True;15;1;5;2;3;5;2;3;4;3;5;33
58;55;True;16;3;6;2;4;4;2;4;3;4;4;36
59;55;True;10;3;1;3;3;5;4;4;5;4;4;36
60;55;True;16;2;4;2;3;2;3;3;2;5;5;31
61;60;False;0;0;0;1;0;1;0;0;0;0;0;2
62;60;False;0;0;0;1;0;0;0;0;0;0;0;1
63;60;False;0;0;0;1;0;1;0;0;0;0;0;2
64;60;False;0;0;0;1;0;0;0;0;0;0;0;1
65;60;False;0;0;1;0;0;0;0;0;0;0;1;2
66;60;False;0;0;0;0;0;0;0;0;0;0;1;1
67;60;False;0;0;0;1;0;0;0;0;0;0;0;1
68;60;False;0;0;0;0;0;1;0;0;0;0;0;1
69;60;False;0;0;0;1;0;0;0;0;0;0;0;1
70;60;False;0;0;0;1;0;1;0;0;0;0;0;2
71;60;True;6;4;4;1;3;4;4;3;2;2;4;31
72;60;True;4;5;5;2;4;3;5;4;2;3;3;36
73;60;True;10;4;5;3;3;2;2;1;2;3;3;28
74;60;True;11;3;2;1;1;2;3;3;3;2;3;23
75;60;True;13;4;7;2;3;2;3;1;3;3;4;32
76;60;True;11;4;2;3;3;3;3;3;3;3;4;31
77;60;True;7;3;4;2;2;4;2;3;5;3;4;32
78;60;True;11;3;6;2;3;4;6;2;1;2;4;33
79;60;True;9;4;5;1;3;4;2;2;2;3;4;30
80;60;True;8;4;4;2;3;4;3;1;3;4;5;33
81;65;False;0;0;0;0;0;1;0;1;0;0;0;2
82;65;False;0;0;0;0;0;1;0;0;0;0;0;1
83;65;False;0;1;0;0;0;1;0;1;0;1;0;4
84;65;False;0;1;0;0;0;1;0;1;0;1;0;4
85;65;False;2;0;0;0;0;0;0;0;0;0;0;0
86;65;False;0;0;0;0;0;0;0;1;0;0;0;1
87;65;False;0;0;0;0;0;1;0;0;0;1;0;2
88;65;False;0;0;0;0;0;1;0;0;0;0;0;1
89;65;False;0;0;0;0;0;1;0;0;0;0;0;1
90;65;False;0;0;0;0;0;1;0;0;0;1;0;2
91;65;True;15;3;3;4;2;3;6;4;3;3;1;32
92;65;True;18;3;4;2;3;2;3;3;3;3;3;29
93;65;True;8;3;2;6;2;4;3;5;4;4;4;37
94;65;True;5;4;2;4;2;3;5;4;3;3;3;33
95;65;True;10;3;3;5;2;2;5;4;3;5;1;33
96;65;True;8;4;4;6;2;3;4;5;3;4;3;38
97;65;True;9;3;2;3;3;3;5;3;4;3;3;32
98;65;True;6;3;3;5;2;3;5;3;3;6;1;34
99;65;True;14;3;4;6;0;4;5;3;4;4;5;38
100;65;True;7;3;1;4;1;4;4;4;4;4;4;33
101;70;False;0;0;0;0;1;0;1;1;0;0;0;3
102;70;False;0;0;0;0;1;0;0;0;0;0;0;1
103;70;False;0;0;0;0;0;0;0;1;0;0;0;1
104;70;False;0;0;0;0;1;0;0;0;0;0;0;1
105;70;False;0;0;0;0;0;0;0;0;0;0;0;0
106;70;False;0;0;0;0;1;0;1;0;0;0;0;2
107;70;False;0;0;0;0;1;0;0;0;0;0;0;1
108;70;False;0;0;0;0;0;0;0;0;0;0;0;0
109;70;False;0;0;0;0;0;0;1;1;0;0;0;2
110;70;False;0;0;0;0;0;0;0;1;0;0;0;1
111;70;True;17;3;3;4;5;5;2;5;2;4;1;34
112;70;True;6;2;2;1;3;5;4;6;2;2;4;31
113;70;True;18;5;3;4;3;3;3;3;3;2;3;32
114;70;True;7;3;5;2;5;3;4;5;3;4;2;36
115;70;True;13;3;3;4;5;4;5;4;2;3;4;37
116;70;True;7;3;4;4;5;3;3;3;1;4;5;35
117;70;True;9;2;2;5;6;3;4;3;2;4;5;36
118;70;True;12;0;4;3;3;6;4;4;2;2;2;30
119;70;True;10;4;3;4;3;3;4;5;2;2;4;34
120;70;True;8;2;2;4;2;4;4;5;3;3;5;34
121;75;False;0;0;0;0;0;0;0;0;0;0;0;0
122;75;False;2;0;0;0;0;0;0;0;0;0;0;0
123;75;False;0;0;0;0;0;1;0;0;0;1;0;2
124;75;False;0;0;0;0;0;0;0;0;0;1;0;1
125;75;False;0;0;0;0;0;0;0;0;0;1;0;1
126;75;False;0;0;0;0;0;0;0;0;0;1;0;1
127;75;False;0;0;0;0;0;0;0;0;0;0;0;0
128;75;False;0;0;0;0;0;0;0;0;0;1;0;1
129;75;False;0;0;0;0;0;0;0;0;0;1;0;1
130;75;False;0;0;0;0;0;1;0;0;0;1;0;2
131;75;True;8;2;3;6;3;4;3;3;3;4;1;32
132;75;True;10;4;2;3;4;2;2;3;4;5;3;32
133;75;True;11;4;2;3;4;3;3;2;3;5;4;33
134;75;True;17;3;3;7;4;1;1;4;3;1;3;30
135;75;True;12;1;2;6;5;2;4;1;5;4;2;32
136;75;True;11;2;2;4;3;3;3;4;3;4;4;32
137;75;True;14;3;4;4;5;3;3;3;3;3;5;36
138;75;True;8;3;2;5;4;2;3;4;3;2;3;31
139;75;True;6;1;4;8;6;3;3;3;5;3;3;39
140;75;True;11;1;3;5;6;3;2;4;5;2;3;34
141;80;False;2;0;0;0;0;0;0;0;0;0;0;0
142;80;False;2;0;0;0;1;0;0;0;0;0;0;1
143;80;False;2;1;0;0;0;0;0;0;0;0;0;1
144;80;False;2;0;0;0;1;0;0;0;0;0;0;1
145;80;False;2;0;0;0;1;0;0;0;0;0;0;1
146;80;False;0;1;0;0;2;0;0;0;0;0;0;3
147;80;False;0;0;1;0;0;0;0;0;0;0;0;1
148;80;False;2;0;1;0;0;0;0;0;0;0;0;1
149;80;False;0;0;1;0;0;0;0;0;0;0;1;2
150;80;False;2;0;0;0;1;0;0;0;0;0;0;1
151;80;True;14;3;2;6;3;3;4;4;3;3;4;35
152;80;True;13;3;3;5;5;4;4;4;2;2;4;36
153;80;True;11;3;2;5;1;3;4;4;5;3;4;34
154;80;True;16;4;3;4;3;0;3;3;4;4;4;32
155;80;True;9;5;3;4;2;5;3;5;3;2;3;35
156;80;True;17;4;4;5;3;2;4;3;5;3;5;38
157;80;True;6;3;2;5;6;4;2;2;4;1;5;34
158;80;True;2;4;2;3;2;3;5;6;6;2;4;37
159;80;True;8;4;1;4;0;4;5;5;5;1;3;32
160;80;True;11;5;2;4;4;3;4;4;6;2;4;38
