step;x1;y1
1;100;100
2;101;100
3;101;99
4;102;99
5;102;98
6;103;98
7;103;97
8;104;97
9;104;96
10;105;96
11;105;95
12;106;95
13;106;94
14;107;94
15;107;93
16;108;93
17;108;92
18;109;92
19;109;91
20;110;91
21;110;90
22;111;90
23;111;89
24;112;89
25;112;88
26;113;88
27;113;87
28;114;87
29;114;86
30;115;86
31;115;85
32;116;85
33;116;84
34;117;84
35;117;83
36;118;83
37;118;82
38;119;82
39;119;81
40;120;81
41;120;80
42;121;80
43;121;79
44;122;79
45;122;78
46;123;78
47;123;77
48;124;77
49;124;76
50;125;76
51;125;75
52;126;75
53;126;74
54;127;74
55;127;73
56;128;73
57;128;72
58;129;72
59;129;71
60;130;71
61;130;70
62;131;70
63;131;69
64;132;69
65;132;68
66;133;68
67;133;67
68;134;67
69;134;66
70;135;66
71;135;65
72;136;65
73;136;64
74;137;64
75;137;63
76;138;63
77;138;62
78;139;62
79;139;61
80;140;61
81;140;60
82;141;60
83;141;59
84;142;59
85;142;58
86;143;58
87;143;57
88;144;57
89;144;56
90;145;56
91;145;55
92;146;55
93;146;54
94;147;54
95;147;53
96;148;53
97;148;52
98;149;52
99;149;51
100;150;51
101;150;50
102;151;50
103;152;50
104;153;50
105;154;50
106;155;50
107;156;50
108;157;50
109;158;50
110;159;50
111;160;50
112;161;50
113;162;50
114;163;50
115;164;50
116;165;50
117;166;50
118;167;50
119;168;50
120;169;50
121;170;50
122;171;50
123;172;50
124;173;50
125;174;50
126;175;50
127;176;50
128;177;50
129;178;50
130;179;50
131;180;50
132;181;50
133;182;50
134;183;50
135;184;50
136;185;50
137;186;50
138;187;50
139;188;50
140;189;50
141;190;50
142;191;50
143;192;50
144;193;50
145;194;50
146;195;50
147;196;50
148;197;50
149;198;50
150;199;50
151;200;50
152;200;49
153;200;48
154;200;47
155;200;46
156;200;45
157;200;44
158;200;43
159;200;42
160;200;41
161;200;40
162;200;39
163;200;38
164;200;37
165;200;36
166;200;35
167;200;34
168;200;33
169;200;32
170;200;31
171;200;30
172;200;29
173;200;28
174;200;27
175;200;26
176;200;25
177;200;24
178;200;23
179;200;22
180;200;21
181;200;20
182;199;20
183;198;20
184;197;20
185;196;20
186;195;20
187;194;20
188;193;20
189;192;20
190;191;20
191;190;20
192;189;20
193;188;20
194;187;20
195;186;20
196;185;20
197;184;20
198;183;20
199;182;20
200;181;20
201;180;20
202;179;20
203;178;20
204;177;20
205;176;20
206;175;20
207;174;20
208;173;20
209;172;20
210;171;20
211;170;20
212;169;20
213;168;20
214;167;20
215;166;20
216;165;20
217;164;20
218;163;20
219;162;20
220;161;20
221;160;20
222;159;20
223;158;20
224;157;20
225;156;20
226;155;20
227;154;20
228;153;20
229;152;20
230;151;20
231;150;20
232;149;20
233;148;20
234;147;20
235;146;20
236;145;20
237;144;20
238;143;20
239;142;20
240;141;20
241;140;20
242;139;20
243;138;20
244;137;20
245;136;20
246;135;20
247;134;20
248;133;20
249;132;20
250;131;20
251;130;20
252;129;20
253;128;20
254;127;20
255;126;20
256;125;20
257;124;20
258;123;20
259;122;20
260;121;20
261;120;20
262;119;20
263;118;20
264;117;20
265;116;20
266;115;20
267;114;20
268;113;20
269;112;20
270;111;20
271;110;20
272;109;20
273;108;20
274;107;20
275;106;20
276;105;20
277;104;20
278;103;20
279;102;20
280;101;20
281;100;20
282;99;20
283;98;20
284;97;20
285;96;20
286;95;20
287;94;20
288;93;20
289;92;20
290;91;20
291;90;20
292;89;20
293;88;20
294;87;20
295;86;20
296;85;20
297;84;20
298;83;20
299;82;20
300;81;20
301;80;20
302;79;20
303;78;20
304;77;20
305;76;20
306;75;20
307;74;20
308;73;20
309;72;20
310;71;20
311;70;20
312;69;20
313;68;20
314;67;20
315;66;20
316;65;20
317;64;20
318;63;20
319;62;20
320;61;20
321;60;20
322;59;20
323;58;20
324;57;20
325;56;20
326;55;20
327;54;20
328;53;20
329;52;20
330;51;20
331;50;20
332;49;20
333;48;20
334;47;20
335;46;20
336;45;20
337;44;20
338;43;20
339;42;20
340;41;20
341;40;20
342;39;20
343;38;20
344;37;20
345;36;20
346;35;20
347;34;20
348;33;20
349;32;20
350;31;20
351;30;20
352;29;20
353;28;20
354;27;20
355;26;20
356;25;20
357;24;20
358;23;20
359;22;20
360;21;20
361;20;20
362;19;20
363;18;20
364;17;20
365;16;20
366;15;20
367;14;20
368;13;20
369;12;20
370;11;20
371;10;20
372;10;20
373;10;21
374;10;22
375;10;23
376;10;24
377;10;25
378;10;26
379;10;27
380;10;28
381;10;29
382;10;30
383;10;31
384;10;32
385;10;33
386;10;34
387;10;35
388;10;36
389;10;37
390;10;38
391;10;39
392;10;40
393;10;41
394;10;42
395;10;43
396;10;44
397;10;45
398;10;46
399;10;47
400;10;48
401;10;49
402;10;50
403;10;51
404;10;52
405;10;53
406;10;54
407;10;55
408;10;56
409;10;57
410;10;58
411;10;59
412;10;60
413;10;61
414;10;62
415;10;63
416;10;64
417;10;65
418;10;66
419;10;67
420;10;68
421;10;69
422;10;70
423;10;71
424;10;72
425;10;73
426;10;74
427;10;75
428;10;76
429;10;77
430;10;78
431;10;79
432;10;80
433;10;79
434;10;78
435;10;77
436;10;76
437;10;75
438;10;74
439;10;73
440;10;72
441;10;71
442;10;70
443;10;69
444;10;68
445;10;67
446;10;66
447;10;65
448;10;64
449;10;63
450;10;62
451;10;61
452;10;60
453;10;59
454;10;58
455;10;57
456;10;56
457;10;55
458;10;54
459;10;53
460;10;52
461;10;51
462;10;50
463;10;49
464;10;48
465;10;47
466;10;46
467;10;45
468;10;44
469;10;43
470;10;42
471;10;41
472;10;40
473;10;39
474;10;38
475;10;37
476;10;36
477;10;35
478;10;34
479;10;33
480;10;32
481;10;31
482;10;30
483;10;29
484;10;28
485;10;27
486;10;26
487;10;25
488;10;24
489;10;23
490;10;22
491;10;21
492;10;20
493;10;20
494;10;20
495;10;20
496;10;20
497;10;20
498;10;20
499;10;20
500;10;20
