expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;41.393263;5;False;0;0;0;0;0;0;0;0;0;0;1;0;1
2;53.525997;5;True;0;0;1;1;0;0;0;0;0;0;1;1;4
3;118.818752;10;True;0;0;1;0;0;3;0;1;0;1;1;1;8
4;67.973711;10;False;0;0;0;0;0;1;0;0;0;0;0;2;3
5;204.367472;15;True;4;2;0;0;2;0;1;1;2;0;1;1;8
6;91.712589;15;False;0;0;0;0;0;0;1;0;0;0;0;1;2
7;328.96244;20;True;0;0;0;1;1;2;2;1;2;1;1;0;11
8;134.645907;20;False;0;0;0;0;0;0;0;0;0;0;0;0;0
9;462.342701;25;True;4;2;3;0;1;1;2;1;1;2;4;2;17
10;137.088028;25;False;0;0;1;0;0;0;0;0;0;0;0;0;1
11;645.260509;30;True;8;2;1;1;1;3;2;4;2;2;4;1;21
12;181.191697;30;False;0;0;0;0;0;0;0;0;1;0;0;0;1
13;794.973347;35;True;24;7;4;1;3;4;3;3;1;3;3;2;27
14;198.256295;35;False;0;0;1;0;0;0;0;0;0;0;0;0;1
15;1036.170333;40;True;18;7;1;4;3;3;3;3;4;1;1;1;24
16;209.166444;40;False;2;2;0;0;0;0;0;0;0;0;0;1;1
17;1212.769994;45;True;30;9;5;1;2;3;1;1;4;2;2;4;25
18;198.609527;45;False;0;0;0;0;0;0;2;0;0;0;0;1;3
19;1514.603045;50;True;34;8;2;6;2;4;3;4;2;4;6;4;37
20;254.197951;50;False;1;0;0;0;0;0;2;0;0;0;0;0;2
21;1718.861782;55;True;40;16;5;4;5;6;4;2;5;3;2;5;41
22;276.527595;55;False;0;0;0;0;0;1;0;0;0;0;0;1;2
23;2128.003025;60;True;31;11;5;4;4;6;5;4;2;3;2;3;38
24;316.982953;60;False;0;0;0;0;1;0;1;0;0;0;0;0;2
25;2312.068426;65;True;72;23;2;2;5;3;2;2;4;4;6;6;36
26;362.831395;65;False;0;0;0;0;1;0;0;0;0;0;0;0;1
27;2834.254022;70;True;54;19;3;7;5;4;4;3;1;5;2;1;35
28;402.968875;70;False;2;0;0;0;0;0;0;0;0;0;0;0;0
29;3413.138585;75;True;28;9;1;4;3;3;4;5;3;3;7;2;35
30;418.085306;75;False;0;0;0;0;0;0;1;0;0;0;0;0;1
31;3705.235527;80;True;73;25;5;3;2;4;3;3;2;5;6;2;35
32;473.808829;80;False;0;0;0;0;0;0;0;0;1;0;0;0;1
33;3989.624813;85;True;66;21;3;4;7;2;2;2;6;2;6;5;39
34;462.886185;85;False;0;0;0;1;0;0;1;0;0;0;0;0;2
35;4158.752817;90;True;42;11;2;4;6;6;4;7;8;8;6;4;55
36;464.893349;90;False;0;0;0;0;0;0;0;0;0;0;0;1;1
37;4688.896557;95;True;52;18;3;8;7;2;5;5;2;5;0;6;43
38;602.731422;95;False;1;0;0;0;0;0;1;0;0;0;0;0;1
39;5004.064276;100;True;38;18;5;6;5;3;2;5;3;5;4;4;42
40;621.315993;100;False;3;2;0;0;0;0;0;0;0;0;0;0;0
