expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;39.876297;5;False;0;0;0;0;1;0;0;0;0;0;0;0;1
2;50.888309;5;True;0;0;0;0;1;1;0;0;0;0;0;0;2
3;116.588709;10;True;0;0;2;0;1;2;0;1;0;0;1;1;8
4;64.835945;10;False;0;0;0;0;0;0;1;0;0;1;0;1;3
5;191.972571;15;True;3;2;1;0;3;0;1;1;0;1;1;0;8
6;87.463321;15;False;0;0;0;0;0;0;0;1;0;0;0;0;1
7;299.176269;20;True;20;5;1;3;0;0;1;1;2;0;3;1;12
8;101.472744;20;False;0;0;0;0;0;0;0;1;0;0;1;0;2
9;450.492969;25;True;3;2;0;1;1;2;2;2;3;0;2;0;13
10;134.118474;25;False;0;0;0;0;0;0;0;0;1;0;0;0;1
11;617.737821;30;True;11;2;3;2;1;3;1;3;3;2;3;2;23
12;157.465133;30;False;0;0;0;0;0;0;0;0;1;0;0;0;1
13;775.303115;35;True;15;6;3;3;4;3;4;1;3;0;2;1;24
14;186.380466;35;False;0;0;0;1;0;0;0;0;0;0;1;0;2
15;986.186918;40;True;29;6;2;3;3;1;3;3;3;4;4;3;29
16;181.868634;40;False;0;0;0;0;1;0;0;0;0;0;0;0;1
17;1265.326167;45;True;16;4;4;5;4;1;0;3;2;1;4;2;26
18;257.14615;45;False;0;0;0;0;0;0;0;0;1;0;0;0;1
19;1416.789164;50;True;52;15;1;6;4;5;3;5;5;4;5;3;41
20;238.47755;50;False;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1647.826434;55;True;39;16;4;6;5;4;4;3;6;5;4;5;46
22;262.981359;55;False;0;0;0;0;1;0;0;0;0;0;0;1;2
23;1962.976004;60;True;62;11;4;3;2;5;4;5;3;4;3;7;40
24;306.973094;60;False;0;0;0;0;0;0;1;0;0;0;0;0;1
25;1309.319394;65;True;28;9;1;1;0;2;2;5;3;0;2;1;17
26;353.132021;65;False;0;0;0;0;0;0;1;0;0;0;1;0;2
27;2661.977253;70;True;50;15;4;3;7;2;4;1;3;4;4;4;36
28;389.3876;70;False;2;0;0;0;0;0;0;0;0;0;0;0;0
29;3000.012828;75;True;43;13;2;5;7;2;8;5;4;5;3;3;44
30;364.817066;75;False;2;4;0;0;0;0;0;1;0;0;0;0;1
31;3294.866119;80;True;54;19;4;5;3;2;2;6;4;4;5;5;40
32;439.96593;80;False;1;0;0;0;0;0;0;0;1;1;0;0;2
33;3770.400811;85;True;32;13;6;3;1;6;2;5;4;5;6;2;40
34;485.013286;85;False;1;0;0;0;0;0;0;1;0;0;0;0;1
35;3722.489433;90;True;54;18;5;4;6;3;6;6;9;4;5;6;54
36;464.426591;90;False;3;0;0;0;0;1;0;1;0;0;0;1;3
37;4399.447879;95;True;51;17;4;6;3;2;3;5;3;4;3;7;40
38;467.168646;95;False;2;2;0;0;0;0;0;0;0;0;0;0;0
39;4587.148249;100;True;37;15;5;4;4;4;2;3;3;4;3;4;36
40;548.594228;100;False;3;0;0;0;0;0;0;1;0;0;1;0;2
