expnum;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;10;False;0;0;0;0;0;1;1;0;0;0;0;2
2;10;False;0;0;0;0;0;0;1;0;0;0;0;1
3;10;False;0;0;0;0;0;0;1;0;0;0;0;1
4;10;False;0;0;0;0;0;0;1;0;0;0;0;1
5;10;False;0;0;0;0;0;0;1;0;0;0;0;1
6;10;False;0;0;0;0;0;0;1;0;0;0;0;1
7;10;False;0;0;0;0;0;0;1;0;0;0;0;1
8;10;False;0;0;0;0;0;0;0;0;0;0;0;0
9;10;False;0;0;0;0;0;0;1;0;0;0;0;1
10;10;False;0;0;0;0;0;1;1;0;0;0;0;2
11;10;True;0;1;1;1;1;0;3;0;1;0;2;10
12;10;True;2;1;0;0;1;2;2;0;2;0;1;9
13;10;True;2;0;0;1;1;3;3;0;1;0;1;10
14;10;True;0;1;0;2;1;2;1;0;2;0;1;10
15;10;True;2;0;0;2;1;3;1;0;3;0;3;13
16;10;True;0;1;0;2;1;2;2;0;2;0;1;11
17;10;True;2;0;0;1;0;2;3;0;0;0;1;7
18;10;True;2;0;0;2;1;0;3;0;2;0;0;8
19;10;True;0;0;0;1;1;0;3;0;1;0;1;7
20;10;True;0;1;1;2;1;1;2;0;2;0;1;11
21;15;False;0;0;0;0;0;0;0;0;0;1;1;2
22;15;False;0;0;0;0;0;0;0;0;0;0;1;1
23;15;False;0;0;0;0;0;0;0;0;0;0;1;1
24;15;False;0;0;0;0;0;0;0;0;0;0;1;1
25;15;False;0;0;0;0;0;0;0;0;0;0;0;0
26;15;False;0;0;0;0;0;1;0;0;0;0;1;2
27;15;False;0;0;0;0;0;0;0;0;0;0;1;1
28;15;False;0;0;0;0;0;0;0;0;0;0;1;1
29;15;False;0;0;0;0;0;0;0;0;0;0;0;0
30;15;False;0;0;0;0;0;1;0;0;0;0;0;1
31;15;True;2;0;0;0;0;2;0;3;2;0;1;8
32;15;True;0;2;1;1;1;1;1;2;0;1;1;11
33;15;True;0;1;1;1;1;2;0;1;2;1;2;12
34;15;True;0;0;0;1;2;2;1;1;2;2;1;12
35;15;True;0;2;0;1;1;1;1;2;2;1;1;12
36;15;True;2;2;0;0;1;2;0;3;2;2;2;14
37;15;True;0;2;0;0;2;2;0;2;3;1;1;13
38;15;True;0;1;0;1;1;1;1;1;2;1;2;11
39;15;True;0;2;2;1;1;1;0;1;1;1;0;10
40;15;True;2;1;0;1;1;0;1;1;0;0;2;7
41;20;False;0;0;0;0;0;0;0;0;0;0;1;1
42;20;False;0;0;0;0;0;0;0;0;0;0;1;1
43;20;False;0;0;0;0;0;0;0;0;0;0;1;1
44;20;False;0;0;0;0;0;0;0;0;0;0;0;0
45;20;False;2;0;0;0;1;0;0;0;0;0;0;1
46;20;False;0;1;0;0;1;0;0;0;0;0;0;2
47;20;False;0;0;0;0;0;0;0;0;0;0;1;1
48;20;False;0;0;0;0;1;0;0;0;0;0;1;2
49;20;False;0;0;0;0;0;0;0;0;0;0;1;1
50;20;False;0;0;0;0;0;0;0;0;0;0;1;1
51;20;True;0;3;1;0;2;1;0;4;2;1;1;15
52;20;True;0;1;0;1;2;1;0;3;1;2;1;12
53;20;True;0;1;2;3;1;0;0;2;2;1;1;13
54;20;True;0;2;0;2;1;2;0;2;1;0;0;10
55;20;True;0;1;1;3;1;0;0;1;0;1;1;9
56;20;True;0;1;1;1;1;1;0;2;0;1;1;9
57;20;True;0;1;2;3;1;2;0;0;1;1;3;14
58;20;True;2;2;2;1;1;0;0;1;0;1;1;9
59;20;True;0;2;1;2;0;1;0;2;1;1;1;11
60;20;True;0;2;1;2;1;1;0;0;1;1;1;10
61;25;False;0;0;0;0;0;0;1;0;0;0;0;1
62;25;False;0;0;0;0;0;0;0;0;0;0;0;0
63;25;False;0;0;0;0;0;0;0;0;0;0;0;0
64;25;False;0;0;0;0;0;0;1;0;0;0;0;1
65;25;False;0;0;0;0;0;0;1;0;0;0;0;1
66;25;False;0;0;0;0;0;0;1;1;0;0;0;2
67;25;False;0;1;0;0;0;0;0;1;0;0;0;2
68;25;False;2;1;0;0;0;0;1;0;0;0;0;2
69;25;False;0;0;0;0;0;0;1;0;0;0;0;1
70;25;False;0;0;0;0;0;0;0;0;0;0;0;0
71;25;True;0;2;0;2;3;3;4;3;2;2;1;22
72;25;True;2;1;0;2;2;2;4;3;0;2;2;18
73;25;True;0;2;0;3;1;1;2;3;1;2;2;17
74;25;True;4;2;0;3;1;2;3;2;0;1;2;16
75;25;True;0;2;0;2;2;1;1;4;0;2;1;15
76;25;True;8;1;0;2;1;0;4;3;0;0;2;13
77;25;True;5;2;0;2;2;1;2;4;0;1;2;16
78;25;True;9;1;0;4;2;2;5;3;1;1;1;20
79;25;True;7;2;0;2;1;2;3;3;0;2;2;17
80;25;True;4;2;0;2;1;2;3;4;0;3;1;18
81;30;False;0;0;0;0;0;0;1;0;1;0;0;2
82;30;False;0;0;0;0;0;0;0;0;0;0;0;0
83;30;False;0;0;0;0;0;0;0;0;0;0;0;0
84;30;False;0;1;0;0;0;0;1;0;0;0;0;2
85;30;False;0;1;0;0;0;1;0;0;0;0;0;2
86;30;False;0;1;0;0;0;0;0;0;0;0;0;1
87;30;False;0;0;0;0;0;0;0;0;0;0;0;0
88;30;False;0;0;0;0;0;0;1;0;0;0;0;1
89;30;False;0;0;0;0;0;0;0;0;0;0;0;0
90;30;False;0;1;0;0;0;0;0;0;0;0;0;1
91;30;True;4;2;3;3;0;2;1;2;4;3;2;22
92;30;True;4;4;3;3;0;4;0;3;2;4;4;27
93;30;True;2;2;1;4;2;3;3;2;1;2;2;22
94;30;True;0;2;3;3;2;1;2;2;2;1;2;20
95;30;True;4;3;2;2;2;3;3;1;5;3;3;27
96;30;True;3;2;1;1;3;1;1;2;4;1;3;19
97;30;True;2;2;2;4;2;1;2;2;4;0;3;22
98;30;True;6;2;4;3;1;2;3;3;2;2;1;23
99;30;True;2;2;2;2;3;2;3;3;5;1;1;24
100;30;True;8;3;2;4;1;2;2;2;3;3;2;24
101;35;False;0;0;0;0;0;0;0;0;0;0;0;0
102;35;False;0;0;0;0;0;0;0;0;0;0;0;0
103;35;False;0;0;0;0;0;0;0;0;0;1;0;1
104;35;False;0;0;0;1;0;0;0;0;0;0;0;1
105;35;False;0;0;0;0;0;0;0;0;0;0;0;0
106;35;False;0;0;0;0;0;0;0;0;0;0;0;0
107;35;False;0;0;0;0;0;0;0;0;0;0;0;0
108;35;False;0;0;0;0;0;0;0;0;0;0;0;0
109;35;False;0;0;0;0;0;0;0;0;0;1;0;1
110;35;False;0;0;0;0;0;0;0;0;0;0;0;0
111;35;True;6;2;1;4;2;2;4;3;1;4;1;24
112;35;True;4;2;1;3;2;2;1;1;1;2;3;18
113;35;True;4;4;2;2;3;3;3;2;2;2;2;25
114;35;True;9;1;2;3;5;3;2;2;1;2;3;24
115;35;True;4;2;2;1;2;3;3;4;1;3;3;24
116;35;True;4;1;2;2;2;4;5;1;1;4;2;24
117;35;True;6;2;2;3;4;1;1;3;1;3;2;22
118;35;True;2;2;2;4;2;2;4;3;3;3;1;26
119;35;True;4;3;2;3;3;2;4;1;2;3;3;26
120;35;True;4;2;1;2;1;3;3;2;2;2;1;19
121;40;False;0;0;0;0;1;0;0;0;0;0;0;1
122;40;False;0;0;0;0;0;1;0;0;0;0;0;1
123;40;False;0;0;0;0;1;0;0;0;0;0;0;1
124;40;False;0;0;0;0;1;0;0;0;0;0;0;1
125;40;False;0;0;0;0;1;0;0;0;0;0;0;1
126;40;False;0;2;0;0;0;0;0;0;0;0;0;2
127;40;False;0;0;0;0;1;0;0;0;0;0;0;1
128;40;False;0;0;0;0;0;1;0;0;0;0;0;1
129;40;False;0;0;0;0;1;0;0;0;0;0;0;1
130;40;False;0;0;0;0;0;0;0;0;0;0;0;0
131;40;True;11;3;4;2;3;2;3;3;3;1;2;26
132;40;True;12;4;3;4;6;3;2;2;1;2;3;30
133;40;True;2;5;4;2;5;4;3;4;3;1;2;33
134;40;True;6;4;2;4;4;2;3;2;2;1;1;25
135;40;True;7;5;4;3;3;2;2;3;2;2;5;31
136;40;True;13;4;2;3;4;3;4;2;3;0;3;28
137;40;True;4;3;2;4;7;2;1;2;2;2;2;27
138;40;True;6;3;2;5;4;2;4;2;3;1;2;28
139;40;True;6;4;4;3;4;4;1;3;1;2;3;29
140;40;True;10;5;4;4;2;1;1;1;3;2;1;24
