step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
33;72;87;19;97;159;182;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
34;73;87;19;97;159;182;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
35;74;87;20;97;160;182;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
36;75;87;20;97;160;182;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
37;76;87;21;96;160;182;43;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
38;77;87;22;96;160;182;43;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
39;78;87;23;95;160;182;42;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4']
40;79;87;24;95;160;182;42;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
41;80;87;24;95;159;181;42;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
42;81;87;25;94;159;181;43;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
