expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;251.432212;65;False;2;0;1;0;0;0;0;0;0;0;0;0;1
2;249.667;65;False;1;0;1;0;0;0;0;0;0;0;0;0;1
3;212.772589;65;False;2;0;0;0;0;0;1;0;0;0;0;0;1
4;201.975527;65;False;0;0;0;0;0;0;1;0;0;0;0;0;1
5;244.788477;65;False;0;0;1;1;0;0;0;0;0;0;0;0;2
6;249.468815;65;False;0;0;0;0;0;0;0;0;0;0;0;0;0
7;239.666527;65;False;0;0;0;1;0;0;1;0;0;0;0;0;2
8;230.159806;65;False;2;0;0;0;0;0;1;0;0;0;0;0;1
9;251.483268;65;False;0;0;0;0;0;0;1;0;0;0;0;0;1
10;262.549492;65;False;0;0;1;0;0;0;0;0;0;0;0;0;1
11;760.564673;65;True;34;9;4;4;3;2;5;4;3;0;1;5;31
12;966.639427;65;True;32;7;4;7;3;1;5;4;4;1;1;4;34
13;709.2632;65;True;31;7;3;5;4;2;5;3;3;4;3;4;36
14;686.112388;65;True;33;13;2;4;1;2;4;3;3;3;3;6;31
15;715.775492;65;True;39;9;4;6;1;5;3;1;1;2;2;6;31
16;759.076262;65;True;35;10;3;6;3;2;4;1;2;3;3;3;30
17;764.29308;65;True;31;8;3;4;2;4;3;3;2;4;4;3;32
18;872.449505;65;True;44;13;3;3;2;5;4;5;2;3;1;6;34
