expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;66.594316;5;False;0;0;0;0;0;0;0;0;0;0;0;0;0
2;84.9547;5;True;0;0;1;0;0;0;0;0;0;0;0;0;1
3;183.209649;10;True;0;0;1;0;1;0;0;0;0;2;0;1;5
4;101.109177;10;False;0;0;0;0;0;0;0;0;0;1;0;0;1
5;298.819775;15;True;4;2;2;0;4;1;2;3;1;0;1;0;14
6;97.809578;15;False;0;0;0;0;0;0;0;0;0;0;0;1;1
7;376.490161;20;True;0;0;2;0;0;2;2;2;1;1;2;0;12
8;146.444049;20;False;0;0;0;0;0;0;1;0;0;0;0;0;1
9;507.23156;25;True;1;2;0;0;1;0;2;3;2;2;1;2;13
10;185.07957;25;False;0;0;1;0;0;0;0;0;0;0;0;0;1
11;702.72009;30;True;10;2;4;2;1;4;2;2;2;2;2;2;23
12;194.057818;30;False;0;0;0;1;0;0;0;0;1;0;0;0;2
13;955.556576;35;True;11;4;3;2;2;2;1;2;0;3;5;4;24
14;230.949904;35;False;0;0;0;1;0;0;0;0;0;0;0;0;1
15;1119.476797;40;True;14;7;1;3;3;4;3;2;4;3;3;2;28
16;244.736677;40;False;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1425.061487;45;True;19;7;3;2;4;1;4;0;4;1;4;5;28
18;282.98962;45;False;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1537.166731;50;True;73;25;3;4;4;5;3;1;1;5;2;2;30
20;335.599519;50;False;0;0;0;0;0;0;0;0;0;1;0;0;1
21;1959.257899;55;True;74;25;3;5;5;5;6;2;5;8;4;4;47
22;364.318278;55;False;0;0;0;0;0;0;0;0;0;0;0;0;0
23;2480.698905;60;True;42;12;6;5;3;5;5;7;4;1;1;2;39
24;338.439896;60;False;1;0;0;0;0;1;0;0;0;0;0;0;1
25;2794.491814;65;True;57;15;4;1;6;4;3;2;2;9;5;5;41
26;420.599564;65;False;2;2;0;0;1;0;0;0;0;0;0;0;1
27;3256.61157;70;True;47;13;3;4;2;6;8;2;4;3;1;5;38
28;456.773965;70;False;4;2;0;0;0;0;0;0;0;0;0;0;0
29;3845.211742;75;True;31;13;4;4;2;1;3;4;6;1;3;3;31
30;543.115566;75;False;0;0;0;0;0;0;0;0;0;0;0;0;0
31;4056.015221;80;True;34;13;3;7;4;3;2;3;3;5;5;5;40
32;540.573406;80;False;0;0;1;1;0;1;0;0;0;0;1;0;4
33;2107.397531;85;True;12;11;1;1;2;2;1;1;2;1;1;0;12
34;629.302675;85;False;0;0;0;0;0;0;0;0;0;0;0;0;0
35;4524.906554;90;True;74;27;5;5;5;7;7;6;6;6;3;5;55
36;571.931686;90;False;0;0;0;0;0;0;0;1;0;0;0;0;1
37;5451.216979;95;True;41;16;3;7;5;5;7;3;5;3;3;3;44
38;694.233118;95;False;2;2;0;0;0;0;1;0;2;0;0;0;3
39;5622.92334;100;True;60;19;6;3;4;2;3;2;5;7;4;4;40
40;728.27627;100;False;2;2;0;0;0;0;0;0;0;0;0;0;0
